term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
PAC064_U2OS_6H_N13_BRD-K45398957_10uM down	b03f4c55-2357-4ff7-a367-cd3b588d484c	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	PAC064	U2OS	6H	N13	BRD-K45398957	10uM	down
DOS024_VCAP_24H_C16_withaferin-a_10uM up	85f60489-11ff-409c-a97a-cf56582ef199	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	DOS024	VCAP	24H	C16	withaferin-a	10uM	up
FIBR016_MCLF022CN_6H_I13_modafinil_4uM up	e34612fa-1884-47d4-8170-2bd3587d171b	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	FIBR016	MCLF022CN	6H	I13	modafinil	4uM	up
LJP008_HUVEC.A_24H_I09_mocetinostat_1.11uM up	b012f251-72fb-4f1e-81e5-c586716476a4	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	LJP008	HUVEC.A	24H	I09	mocetinostat	1.11uM	up
PAC012_U2OS_6H_B16_BRD-K39841630_10uM down	cf57aae4-3940-49f7-aabd-77c53ffad0e1	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	PAC012	U2OS	6H	B16	BRD-K39841630	10uM	down
FIBR003_MCLF027CN_6H_J17_rolipram_4uM down	6077e11b-eca0-4eb4-a625-1635efb6ec4e	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	FIBR003	MCLF027CN	6H	J17	rolipram	4uM	down
ISO002_MCF10A.TP53.M_24H_I04_BU-224_0.37uM down	9974fa43-a972-4cc0-8960-3664533b06ac	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	ISO002	MCF10A.TP53.M	24H	I04	BU-224	0.37uM	down
NMH002_FIBRNPC_24H_A03_geldanamycin_10uM down	5c23ff9d-29c0-4564-8768-342603b3a36b	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	NMH002	FIBRNPC	24H	A03	geldanamycin	10uM	down
PAC012_U2OS_6H_L18_BRD-K32816753_10uM up	cf2654b1-4166-42ad-9ee6-c95d50b7d106	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	PAC012	U2OS	6H	L18	BRD-K32816753	10uM	up
PAC055_U2OS_6H_H11_BRD-K38403252_10uM down	d245105b-55ff-460c-85bd-16fd4c412198	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	PAC055	U2OS	6H	H11	BRD-K38403252	10uM	down
CPC006_A375_24H_N21_BMS-754807_10uM up	7c3985fe-5f86-4a45-a21c-10d4134200eb	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	CPC006	A375	24H	N21	BMS-754807	10uM	up
FIBR016_MCLF022CN_6H_O13_BRD-A13005505_4uM up	c1bfb6b4-acfb-4df4-8816-aba876cb4a6f	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	FIBR016	MCLF022CN	6H	O13	BRD-A13005505	4uM	up
LJP009_MCF10A_24H_C11_GNF-2_0.12uM down	9c4c8046-e953-46b8-9eb0-b93123ddd9c2	250	2.3054684673410072e-07	0.0012640936345905485	45.336	4	LJP009	MCF10A	24H	C11	GNF-2	0.12uM	down
