signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_69585	0.6678426058	5.211567208e-33	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_69585
LINCSCP_131278	0.6666754145	7.342941989e-33	245	C24H25CLFN5O3	LSM-42794	EGFR|ERBB2|ERBB4	10uM	MCF10A	24h	LINCSCP_131278
LINCSCP_76896	0.6621493025	2.735060455e-32	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_76896
LINCSCP_76098	0.6617382052	3.078556064e-32	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_76098
LINCSCP_75902	0.6617015218	3.111199933e-32	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_75902
LINCSCP_75904	0.6588854342	6.961027162e-32	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_75904
LINCSCP_76895	0.6562163873	1.48150439e-31	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_76895
LINCSCP_76894	0.6554265489	1.84985689e-31	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_76894
LINCSCP_69399	0.6541944594	2.612125269e-31	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_69399
LINCSCP_74722	0.6537894769	2.924814971e-31	245	AZ628	LSM-1050	BRAF|RAF1	10uM	A375	24h	LINCSCP_74722
LINCSCP_78246	0.6526758137	3.987893266e-31	245	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_78246
LINCSCP_69403	0.6516456099	5.306336416e-31	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.04uM	A375	24h	LINCSCP_69403
LINCSCP_75903	0.6504420647	7.397922925e-31	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_75903
LINCSCP_76897	0.6477719032	1.538019667e-30	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_76897
LINCSCP_749	0.6466707928	2.075450682e-30	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	80uM	A375	24h	LINCSCP_749
LINCSCP_131342	0.6464727752	2.190085827e-30	245	BRD-K01425431	NA	NA	10uM	MCF10A	24h	LINCSCP_131342
LINCSCP_69584	0.6464726719	2.190147258e-30	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_69584
LINCSCP_69401	0.6452387128	3.059029258e-30	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_69401
LINCSCP_21	0.6447490448	3.491260843e-30	245	MLS006011051	LSM-42801	BRAF	10uM	A375	24h	LINCSCP_21
LINCSCP_68998	0.6438373304	4.462460131e-30	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_68998
LINCSCP_114547	0.6436612373	4.678648226e-30	245	NVP-BHG712	LSM-1201	NA	10uM	HME1	24h	LINCSCP_114547
LINCSCP_76899	0.6428931857	5.748801097e-30	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.04uM	A375	24h	LINCSCP_76899
LINCSCP_75900	0.6428591761	5.801396699e-30	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_75900
LINCSCP_123852	0.6426668322	6.107908717e-30	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_123852
LINCSCP_75901	0.6426141675	6.194582237e-30	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_75901
LINCSCP_68999	0.6422760396	6.780676043e-30	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_68999
LINCSCP_27	0.6418098379	7.679345072e-30	245	Vemurafenib	LSM-42737	BRAF	3uM	A375	24h	LINCSCP_27
LINCSCP_78244	0.6413889136	8.591038831e-30	245	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_78244
LINCSCP_69587	0.6403443031	1.134044678e-29	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_69587
LINCSCP_7	0.6401598237	1.190904939e-29	245	Dabrafenib	LSM-6303	BRAF	10uM	A375	24h	LINCSCP_7
LINCSCP_123853	0.6388669452	1.67638893e-29	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_123853
LINCSCP_69000	0.6381503416	2.024778578e-29	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_69000
LINCSCP_69400	0.6377815977	2.230947754e-29	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_69400
LINCSCP_123851	0.6371683304	2.620595836e-29	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_123851
LINCSCP_25	0.6370472764	2.705086623e-29	245	Vemurafenib	LSM-42737	BRAF	0.5uM	A375	24h	LINCSCP_25
LINCSCP_69398	0.6369072965	2.806139309e-29	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_69398
LINCSCP_69402	0.6361594116	3.412484699e-29	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_69402
LINCSCP_130613	0.6359394255	3.61424168e-29	245	Pelitinib	LSM-42796	EGFR	10uM	MCF10A	24h	LINCSCP_130613
LINCSCP_76898	0.6359313996	3.62182071e-29	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_76898
LINCSCP_69107	0.6358690214	3.681262271e-29	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_69107
LINCSCP_25535	0.6357664477	3.781104989e-29	245	AS-605240	LSM-42784	PIK3CG	10uM	HT29	24h	LINCSCP_25535
LINCSCP_76101	0.6357560912	3.791332981e-29	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_76101
LINCSCP_69310	0.6357171983	3.829987209e-29	245	Trametinib	LSM-1143	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_69310
LINCSCP_123854	0.634822469	4.83470041e-29	245	RO4987655	LSM-45489	MAP2K1|MAP2K2	0.37uM	HT29	24h	LINCSCP_123854
LINCSCP_717	0.6346421305	5.066654139e-29	245	AS-605240	LSM-42784	PIK3CG	10uM	A375	24h	LINCSCP_717
LINCSCP_123058	0.6346250516	5.089181847e-29	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_123058
LINCSCP_8	0.6338932031	6.153126826e-29	245	Dabrafenib	LSM-6303	BRAF	3uM	A375	24h	LINCSCP_8
LINCSCP_69308	0.6337368426	6.40740706e-29	245	Trametinib	LSM-1143	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_69308
LINCSCP_69180	0.6335545794	6.716908261e-29	245	PLX-4720	LSM-1049	BRAF	0.37uM	A375	24h	LINCSCP_69180
LINCSCP_76099	0.6332227957	7.318601829e-29	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_76099
LINCSCP_72632	0.6329603657	7.831888146e-29	245	Dabrafenib	LSM-6303	BRAF	10uM	A375	24h	LINCSCP_72632
LINCSCP_38972	0.6324180885	9.007566367e-29	245	WH-4-025	LSM-45317	NA	10uM	MDAMB231	24h	LINCSCP_38972
LINCSCP_116290	0.6323795526	9.097442599e-29	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	HT29	24h	LINCSCP_116290
LINCSCP_69108	0.6321770972	9.584346077e-29	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	0.37uM	A375	24h	LINCSCP_69108
LINCSCP_69106	0.6316044517	1.11049868e-28	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_69106
LINCSCP_24	0.6314508605	1.155178331e-28	245	Vemurafenib	LSM-42737	BRAF	0.1uM	A375	24h	LINCSCP_24
LINCSCP_69208	0.6311423669	1.250340307e-28	245	CI-1040	LSM-1048	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_69208
LINCSCP_116183	0.6305529559	1.454139019e-28	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_116183
LINCSCP_5	0.6303323772	1.538548573e-28	245	Dabrafenib	LSM-6303	BRAF	0.1uM	A375	24h	LINCSCP_5
LINCSCP_123059	0.6301368464	1.617399514e-28	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_123059
LINCSCP_76100	0.6299194835	1.709735252e-28	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_76100
LINCSCP_73830	0.6298036977	1.761022536e-28	245	Pimasertib	LSM-5946	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_73830
LINCSCP_74723	0.6294261767	1.939007234e-28	245	AZ628	LSM-1050	BRAF|RAF1	3.33uM	A375	24h	LINCSCP_74723
LINCSCP_22	0.6292174945	2.044883455e-28	245	MLS006011051	LSM-42801	BRAF	3uM	A375	24h	LINCSCP_22
LINCSCP_69588	0.6289649302	2.180667635e-28	245	Selumetinib	LSM-1056	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_69588
LINCSCP_77711	0.6274903784	3.170222437e-28	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_77711
LINCSCP_10	0.6274321066	3.21731516e-28	245	PLX-4720	LSM-1049	BRAF	0.5uM	A375	24h	LINCSCP_10
LINCSCP_116391	0.6272884051	3.336415346e-28	245	CI-1040	LSM-1048	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_116391
LINCSCP_116288	0.6271495744	3.455601866e-28	245	Withaferin A	LSM-6685	IKBKB|NAMPT	0.04uM	HT29	24h	LINCSCP_116288
LINCSCP_116289	0.6270521455	3.541741038e-28	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	10uM	HT29	24h	LINCSCP_116289
LINCSCP_76071	0.6265056694	4.065594693e-28	245	Vemurafenib	LSM-1068	BRAF	0.37uM	A375	24h	LINCSCP_76071
LINCSCP_69630	0.6259353783	4.69370289e-28	245	AS-605240	LSM-42784	PIK3CG	0.12uM	A375	24h	LINCSCP_69630
LINCSCP_69179	0.6258655387	4.77691371e-28	245	PLX-4720	LSM-1049	BRAF	1.11uM	A375	24h	LINCSCP_69179
LINCSCP_69211	0.6247866304	6.263272976e-28	245	CI-1040	LSM-1048	MAP2K1|MAP2K2	0.12uM	A375	24h	LINCSCP_69211
LINCSCP_144885	0.6246623195	6.461417956e-28	245	WH-4-025	LSM-44937	NA	10uM	MDAMB231	24h	LINCSCP_144885
LINCSCP_12	0.6245983175	6.565829927e-28	245	PLX-4720	LSM-1049	BRAF	3uM	A375	24h	LINCSCP_12
LINCSCP_77712	0.6240977544	7.441880853e-28	245	PD-0325901	LSM-1101	MAP2K1|MAP2K2	1.11uM	A375	24h	LINCSCP_77712
LINCSCP_69309	0.6238665391	7.88450141e-28	245	Trametinib	LSM-1143	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_69309
LINCSCP_120943	0.6238579096	7.901513835e-28	245	TAK-733	LSM-45834	MAP2K1|MAP2K2	1.11uM	HT29	24h	LINCSCP_120943
LINCSCP_69132	0.6229856982	9.82135669e-28	245	TGX 221	LSM-1172	PIK3CB	0.37uM	A375	24h	LINCSCP_69132
LINCSCP_72635	0.6227002651	1.05443442e-27	245	Dabrafenib	LSM-6303	BRAF	0.37uM	A375	24h	LINCSCP_72635
LINCSCP_78245	0.6221825588	1.199194298e-27	245	MEK162 (ARRY-162, ARRY-438162)	LSM-45640	MAP2K1|MAP2K2	3.33uM	A375	24h	LINCSCP_78245
LINCSCP_69105	0.6219859089	1.259169966e-27	245	AZD-8330	LSM-1165	MAP2K1|MAP2K2	10uM	A375	24h	LINCSCP_69105
