term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
ASG003_U2OS_48H_H17_dabrafenib_1.11uM up	2f635579-5c88-4159-a45e-e673ff4dcfc8	250	8.112020833788359e-21	1.3610389115034278e-14	27.899076923076926	16	ASG003	U2OS	48H	H17	dabrafenib	1.11uM	up
ERG014_VCAP_6H_N19_BRD-K88722443_10uM up	6238edd5-a897-477f-8b80-f053ab263d9b	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	ERG014	VCAP	6H	N19	BRD-K88722443	10uM	up
FIBR027_MCLF130CN_6H_N14_FCCP_4uM up	ac6810b3-1beb-4e16-9a9e-a1e7a7b24f5f	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	FIBR027	MCLF130CN	6H	N14	FCCP	4uM	up
PAC003_U2OS_6H_J21_radicicol_20uM up	cb53a34e-0a07-4fa2-9950-56da504e3c92	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC003	U2OS	6H	J21	radicicol	20uM	up
PAC002_U2OS_6H_D10_atrazine_10uM down	82fb068a-cca2-4111-8641-74424a4da668	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC002	U2OS	6H	D10	atrazine	10uM	down
PAC003_U2OS_6H_H19_sirolimus_20uM up	6ce2ab5f-61e8-45fc-96b0-e90b4b1b1bf3	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC003	U2OS	6H	H19	sirolimus	20uM	up
ERG015_VCAP_6H_P19_BRD-K85211514_10uM up	003111ce-3a1d-45ba-b96f-818760e3f47d	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	ERG015	VCAP	6H	P19	BRD-K85211514	10uM	up
PAC003_U2OS_6H_M18_niclosamide_10uM up	f21f54a0-afac-43e5-b4f6-cabb4bfcb190	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC003	U2OS	6H	M18	niclosamide	10uM	up
ASG003_XC.P911_24H_B16_erlotinib_10uM up	14f5bddb-d5c7-4e54-b773-4c55030d0de4	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	ASG003	XC.P911	24H	B16	erlotinib	10uM	up
PAC001_U2OS_6H_I22_geldanamycin_20uM up	340488f9-812c-4726-b8c4-231ff738ee10	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC001	U2OS	6H	I22	geldanamycin	20uM	up
PAC003_U2OS_6H_I22_geldanamycin_20uM up	a38df93b-ddc7-48df-8d43-8d011bc4a0b4	250	5.603012480313548e-19	8.54614759502952e-14	26.155384615384612	15	PAC003	U2OS	6H	I22	geldanamycin	20uM	up
LJP007_NPC.CAS9_24H_D22_bosutinib_0.37uM up	540069db-1f2f-4a5f-8544-a07ac9d7df0b	250	3.311241834178929e-17	6.536021300699504e-13	24.411692307692306	14	LJP007	NPC.CAS9	24H	D22	bosutinib	0.37uM	up
ASG003_XC.L10_24H_B16_erlotinib_10uM up	17400806-5c24-4c0d-84a3-91a9a44029b1	250	3.311241834178929e-17	6.536021300699504e-13	24.411692307692306	14	ASG003	XC.L10	24H	B16	erlotinib	10uM	up
