signatureID	similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	cellLine	time	_row
LINCSCP_113848	-0.9704517128	1.688119527e-07	12	Sunitinib	LSM-42800	CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET	0.37uM	HME1	24h	LINCSCP_113848
LINCSCP_150190	-0.9606274504	6.974351945e-07	12	CGK733	LSM-1610	ATM|ATR	3.33uM	NPC.TAK	24h	LINCSCP_150190
LINCSCP_113738	-0.9588761642	8.644043123e-07	12	Cabozantinib	LSM-1195	KDR|MET	3.33uM	HME1	24h	LINCSCP_113738
LINCSCP_153343	-0.9564942028	1.140859572e-06	12	ARTESUNATE	LSM-45731	NA	3.33uM	PC3	24h	LINCSCP_153343
LINCSCP_148310	-0.952866639	1.692259061e-06	12	CHIR-265	LSM-1207	BRAF|KDR	0.12uM	NPC.CAS9	24h	LINCSCP_148310
LINCSCP_34435	-0.9522669718	1.800850715e-06	12	Avermectin	LSM-5002	NA	10uM	MCF7	24h	LINCSCP_34435
LINCSCP_16368	-0.9501816981	2.222232535e-06	12	CHEMBL2142877	LSM-29356	NA	10uM	HA1E	6h	LINCSCP_16368
LINCSCP_189022	-0.9493562314	2.409161222e-06	12	MLS002473641	LSM-3855	NA	10uM	A549	24h	LINCSCP_189022
LINCSCP_85244	0.9490336155	2.485517371e-06	12	Buparlisib	LSM-1148	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1.11uM	BT20	24h	LINCSCP_85244
LINCSCP_30502	-0.9468669276	3.04945604e-06	12	Phloretin	LSM-6221	NA	100uM	MCF7	24h	LINCSCP_30502
LINCSCP_11617	0.9468279858	3.060444606e-06	12	Sirolimus	LSM-42783	FKBP1A|MTOR	0.5uM	BT20	24h	LINCSCP_11617
LINCSCP_81084	-0.9440645973	3.924282577e-06	12	Enzastaurin	LSM-1069	PRKCB	1.11uM	A549	24h	LINCSCP_81084
LINCSCP_81705	-0.9423623036	4.545693802e-06	12	CHIR-99021	LSM-1181	NA	10uM	A549	24h	LINCSCP_81705
LINCSCP_4726	-0.9413621326	4.945584679e-06	12	Gossypol	LSM-6229	BCL2|BCL2L1|MCL1	10uM	A549	6h	LINCSCP_4726
LINCSCP_81082	-0.9410251757	5.086401244e-06	12	Enzastaurin	LSM-1069	PRKCB	10uM	A549	24h	LINCSCP_81082
LINCSCP_54968	-0.9410044484	5.095165817e-06	12	SB-216763	LSM-1161	GSK3B	10uM	THP1	6h	LINCSCP_54968
LINCSCP_39153	-0.940432055	5.341967315e-06	12	GSK-3 Inhibitor IX	LSM-42780	GSK3A|GSK3B	0.5uM	MDAMB231	6h	LINCSCP_39153
LINCSCP_81142	-0.9386386651	6.177084244e-06	12	SCHEMBL570779	LSM-1149	NA	10uM	A549	24h	LINCSCP_81142
LINCSCP_11618	0.9386113512	6.19055603e-06	12	Sirolimus	LSM-42783	FKBP1A|MTOR	10uM	BT20	24h	LINCSCP_11618
LINCSCP_30651	-0.9385378862	6.226905911e-06	12	STK178014	LSM-43108	NA	50uM	MCF7	24h	LINCSCP_30651
LINCSCP_147460	-0.9374103336	6.806317293e-06	12	Bosutinib	LSM-1190	ABL1|BCR|CAMK2G|HCK|LYN|SRC	1.11uM	NPC.CAS9	24h	LINCSCP_147460
LINCSCP_54877	0.9369648141	7.046668444e-06	12	CHEMBL1242477	LSM-6208	PIK3CA|PIK3CB|PIK3CD|PIK3CG	20uM	THP1	6h	LINCSCP_54877
LINCSCP_30667	-0.9366482416	7.221497121e-06	12	MLS000038106	LSM-4068	NA	10uM	MCF7	24h	LINCSCP_30667
LINCSCP_130064	-0.9358003544	7.706693257e-06	12	CHIR-99021	LSM-1181	NA	1.11uM	LNCAP	24h	LINCSCP_130064
LINCSCP_188800	-0.9350748137	8.142027853e-06	12	CID 46937236	LSM-1269	NA	10uM	A549	24h	LINCSCP_188800
LINCSCP_4803	-0.9344277134	8.546492557e-06	12	Tyrphostin AG-1478	LSM-1224	EGFR	60uM	A549	6h	LINCSCP_4803
LINCSCP_130065	-0.9343972255	8.565933153e-06	12	CHIR-99021	LSM-1181	NA	0.37uM	LNCAP	24h	LINCSCP_130065
LINCSCP_19198	-0.9339824187	8.833925787e-06	12	Indirubin-3'monoxime	LSM-2430	CDK1|CDK5|GSK3A	10uM	HCC515	6h	LINCSCP_19198
LINCSCP_4823	-0.9335635276	9.111240349e-06	12	Lonidamine	LSM-6272	NA	100uM	A549	6h	LINCSCP_4823
LINCSCP_130022	-0.9334571625	9.18273975e-06	12	Imatinib	LSM-1023	ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB	1.11uM	LNCAP	24h	LINCSCP_130022
LINCSCP_87707	0.9331206992	9.411838129e-06	12	Buparlisib	LSM-1148	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1.11uM	HA1E	24h	LINCSCP_87707
LINCSCP_79845	-0.9324074147	9.912456647e-06	12	Dequalinium	LSM-5846	NA	10uM	A375	24h	LINCSCP_79845
LINCSCP_48946	-0.9322704705	1.001093337e-05	12	BRD-K26968982	LSM-38737	NA	10uM	PC3	24h	LINCSCP_48946
LINCSCP_38783	0.9315704133	1.052649283e-05	12	Tamoxifen	LSM-42959	ESR1|ESR2	10uM	MCF7	24h	LINCSCP_38783
LINCSCP_81407	-0.9311259941	1.086451999e-05	12	GSK-3 Inhibitor IX	LSM-42780	NA	3.33uM	A549	24h	LINCSCP_81407
LINCSCP_30565	0.930400677	1.143456715e-05	12	TPCA-1	LSM-1136	IKBKB	10uM	MCF7	24h	LINCSCP_30565
LINCSCP_154231	-0.9303228057	1.149714566e-05	12	Pelitinib	LSM-42796	EGFR	3.33uM	PC3	24h	LINCSCP_154231
LINCSCP_88182	0.9302107558	1.158766485e-05	12	ZSTK 474	LSM-1053	PIK3CG	3.33uM	HA1E	24h	LINCSCP_88182
LINCSCP_188097	-0.9301349354	1.164923479e-05	12	Cyclosporine	LSM-42817	PPIA|PPP3CA	10uM	A549	6h	LINCSCP_188097
LINCSCP_30792	-0.9289413611	1.26530091e-05	12	Quiflapon	LSM-6242	ALOX5AP	80uM	MCF7	6h	LINCSCP_30792
