gene_name	gene_id	log2FoldChange	pvalue	padj
TP53INP1	ENSG00000164938	1.465241	2.229625e-87	1.442902e-83
AICDA	ENSG00000111732	1.328789	1.203336e-51	2.595796e-48
PIM2	ENSG00000102096	1.013763	1.691725e-51	3.128e-48
TP63	ENSG00000073282	1.1897	3.256495e-28	1.505315e-25
PIK3CG	ENSG00000105851	1.12036	2.221612e-15	2.26412e-13
METTL7A	ENSG00000185432	1.19741	8.434287e-13	5.404207e-11
CHRNA6	ENSG00000147434	1.022625	4.696738e-11	2.356197e-09
RP11-175B9.3	ENSG00000236439	2.272484	3.746742e-10	1.58997e-08
BLOC1S5-TXNDC5	ENSG00000259040	9.311313	6.670002e-09	2.191113e-07
RASSF6	ENSG00000169435	1.892576	1.364477e-08	4.13593e-07
TMEM140	ENSG00000146859	1.178396	1.463664e-08	4.395406e-07
AC007881.4	ENSG00000233870	1.771394	5.450927e-08	1.405405e-06
CTD-2370N5.3	ENSG00000265118	1.255826	2.899072e-07	6.475212e-06
DLGAP1-AS2	ENSG00000262001	1.006357	8.346668e-06	0.0001222069
XCL2	ENSG00000143185	-1.326939	1.11636e-06	2.118629e-05
ADRA2A	ENSG00000150594	-1.144387	1.103652e-07	2.72087e-06
DUSP8	ENSG00000184545	-1.157203	4.958615e-08	1.29351e-06
GPR3	ENSG00000181773	-1.39646	3.431047e-08	9.329421e-07
CCL3L1	ENSG00000205021	-1.299382	2.047049e-08	5.874713e-07
PDF	ENSG00000258429	-1.406988	9.48932e-09	2.981074e-07
SLC6A9	ENSG00000196517	-1.045776	3.055414e-09	1.086435e-07
DUSP2	ENSG00000158050	-1.28169	3.041759e-09	1.084559e-07
CCL4	ENSG00000129277	-2.077823	2.157943e-10	9.53251e-09
SDF2L1	ENSG00000128228	-1.220108	1.340959e-11	7.32322e-10
TNFRSF21	ENSG00000146072	-1.102517	2.160836e-12	1.319231e-10
TMBIM4	ENSG00000228144	-8.617501	1.680157e-12	1.030629e-10
G0S2	ENSG00000123689	-1.149824	9.81883e-13	6.16918e-11
SLC16A9	ENSG00000165449	-1.002481	2.41322e-13	1.670284e-11
ATAD3B	ENSG00000160072	-1.018642	7.780524e-14	5.821001e-12
ZNF593	ENSG00000142684	-1.159515	5.634485e-14	4.393201e-12
GRASP	ENSG00000161835	-1.539917	1.796657e-14	1.529877e-12
PDCD1	ENSG00000188389	-1.763921	1.59871e-15	1.696074e-13
TNFRSF4	ENSG00000186827	-1.227204	2.6714e-16	3.143267e-14
SPRY4	ENSG00000187678	-1.002195	1.53385e-16	1.927439e-14
CEP170B	ENSG00000099814	-1.032929	4.449675e-17	6.062331e-15
PLK3	ENSG00000173846	-1.187051	1.131424e-18	1.854422e-16
PLD6	ENSG00000179598	-1.028082	2.755906e-19	4.69338e-17
NRROS	ENSG00000174004	-1.093105	2.532509e-20	5.286817e-18
CD3EAP	ENSG00000117877	-1.008126	2.109403e-20	4.475738e-18
INHBE	ENSG00000139269	-1.69993	3.236422e-21	7.757225e-19
DDN	ENSG00000181418	-1.084027	9.46177e-22	2.310636e-19
SH2D2A	ENSG00000027869	-1.078595	5.460896e-22	1.359238e-19
LIF	ENSG00000128342	-1.078272	4.776598e-22	1.212226e-19
STC2	ENSG00000113739	-1.275536	4.359741e-22	1.128563e-19
PDGFA	ENSG00000197461	-1.195187	4.961284e-23	1.493346e-20
KDM6B	ENSG00000132510	-1.043026	3.381634e-25	1.215791e-22
MARS2	ENSG00000247626	-1.077055	9.370295e-26	3.567051e-23
CHAC1	ENSG00000128965	-1.755726	7.09828e-28	3.062434e-25
EGR1	ENSG00000120738	-1.412996	5.456748e-30	3.070726e-27
NIPAL4	ENSG00000172548	-1.370966	1.351023e-33	1.028606e-30
MFSD2A	ENSG00000168389	-1.395928	7.57695e-35	6.129279e-32
FOSL1	ENSG00000175592	-1.716525	4.44617e-35	4.110484e-32
SRXN1	ENSG00000271303	-1.060292	1.934094e-37	1.925613e-34
CCL3	ENSG00000006075	-2.136776	2.271344e-39	2.449834e-36
RGS16	ENSG00000143333	-1.207461	1.292752e-40	1.521099e-37
NR4A1	ENSG00000123358	-1.775372	2.196576e-46	3.158921e-43
DUSP14	ENSG00000161326	-1.183036	1.743623e-46	2.820964e-43
SLC7A5	ENSG00000103257	-1.423066	4.985458e-53	1.290536e-49
EGR3	ENSG00000179388	-1.805216	2.582102e-53	8.355037e-50
SLC39A14	ENSG00000104635	-1.267922	3.399843e-59	1.466806e-55
XCL1	ENSG00000143184	-2.10388	3.125113e-115	4.044834e-111
