pert,group
Cobimetinib,MEK inhibitors
Selumetinib,MEK inhibitors
Trametinib,MEK inhibitors
Binimetinib,MEK inhibitors
Mirdametinib,MEK inhibitors
Sirolimus (Rapamycin),mTOR inhibitors
Ridaforolimus,mTOR inhibitors
Everolimus,mTOR inhibitors
Temsirolimus,mTOR inhibitors
Parsaclisib,PI3K inhibitors
Duvelisib,PI3K inhibitors
Alpelisib (BYL719),PI3K inhibitors
Copanlisib,PI3K inhibitors
"Idelalisib (CAL-101, GS-1101)",PI3K inhibitors
Abemaciclib,CDK inhibitors
Ribociclib,CDK inhibitors
Palbociclib,CDK inhibitors
Resminostat,HDAC inhibitors
Tucidinostat,HDAC inhibitors
Entinostat,HDAC inhibitors
Belinostat,HDAC inhibitors
Panobinostat,HDAC inhibitors
Romidepsin,HDAC inhibitors
Vorinostat,HDAC inhibitors
Irinotecan,TOP1 inhibitors
Belotecan,TOP1 inhibitors
Etirinotecan pegol,TOP1 inhibitors
Topotecan,TOP1 inhibitors
Rotigotine,Dopamine agonists
Piribedil,Dopamine agonists
Apomorphine,Dopamine agonists
Cabergoline,Dopamine agonists
Pramipexole,Dopamine agonists
Ropinirole,Dopamine agonists
Dihydroergocryptine,Dopamine agonists
Pergolide,Dopamine agonists
Bromocriptine,Dopamine agonists
Bucladesine,Phosphodiesterase inhibitors
Enoximone,Phosphodiesterase inhibitors
Milrinone,Phosphodiesterase inhibitors
Amrinone,Phosphodiesterase inhibitors
