sgn_number	perturbation
1	Cobimetinib
2	Trametinib
3	Cobimetinib
4	Cobimetinib
5	Selumetinib
6	Cobimetinib
7	Trametinib
8	Binimetinib
9	Refametinib
10	Selumetinib
11	Cobimetinib
12	Trametinib
13	Binimetinib
14	Trametinib
15	Selumetinib
16	Trametinib
17	Selumetinib
18	Selumetinib
19	Selumetinib
20	Selumetinib
21	Selumetinib
22	Selumetinib
23	Trametinib
24	Trametinib
25	Trametinib
26	Trametinib
27	Trametinib
28	Trametinib
29	Trametinib
30	Trametinib
31	Trametinib
32	Trametinib
33	Trametinib
34	Trametinib
35	Trametinib
36	Trametinib
37	Trametinib
38	Trametinib
39	Trametinib
40	Trametinib
41	Trametinib
42	Rapamycin
43	Rapamycin
44	Rapamycin
45	Rapamycin
46	Rapamycin
47	Rapamycin
48	Rapamycin
49	Rapamycin
50	Rapamycin
51	Rapamycin
52	Rapamycin
53	Rapamycin
54	Rapamycin
55	Rapamycin
56	Rapamycin
57	Rapamycin
58	Rapamycin
59	Rapamycin
60	Rapamycin
61	Rapamycin
62	Rapamycin
63	Rapamycin
64	Rapamycin
65	Rapamycin
66	Rapamycin
67	Rapamycin
68	Rapamycin
69	Rapamycin
70	Rapamycin
71	Rapamycin
72	Rapamycin
73	Rapamycin
74	Rapamycin
75	Rapamycin
76	Rapamycin
77	Rapamycin
78	Rapamycin
79	Rapamycin
80	Rapamycin
81	Rapamycin
82	Sirolimus
83	Sirolimus
84	Sirolimus
85	Sirolimus
86	Rapamycin
87	Rapamycin
88	Sirolimus
89	Rapamycin
90	Rapamycin
91	Rapamycin
92	Rapamycin
93	Rapamycin
94	Rapamycin
95	Rapamycin
96	Rapamycin
97	Rapamycin
98	Rapamycin
99	Rapamycin
100	Rapamycin
101	Rapamycin
102	Rapamycin
103	Rapamycin
104	Rapamycin
105	Rapamycin
106	Rapamycin
107	Rapamycin
108	Ridaforolimus
109	Ridaforolimus
110	Everolimus
111	Everolimus
112	Everolimus
113	Everolimus
114	Everolimus
115	Everolimus
116	Everolimus
117	Everolimus
118	Everolimus
119	Everolimus
120	Everolimus
121	Everolimus
122	Everolimus
123	Everolimus
124	Everolimus
125	Everolimus
126	Everolimus
127	Everolimus
128	Everolimus
129	Everolimus
130	Everolimus
131	Temsirolimus
132	Temsirolimus
133	Temsirolimus
134	Temsirolimus
135	Temsirolimus
136	Duvelisib
137	Duvelisib
138	Duvelisib
139	Duvelisib
140	Alpelisib
141	Alpelisib
142	Alpelisib
143	Alpelisib
144	Alpelisib
145	Alpelisib
146	Alpelisib
147	Alpelisib
148	Alpelisib
149	-
150	Alpelisib
151	Copanlisib
152	Copanlisib
153	Copanlisib
154	Copanlisib
155	Idelalisib
156	Idelalisib
157	Idelalisib
158	Idelalisib
159	Idelalisib
160	Idelalisib
161	Idelalisib
162	Idelalisib
163	Idelalisib
164	Idelalisib
165	Idelalisib
166	Idelalisib
167	Idelalisib
168	Idelalisib
169	Idelalisib
170	Idelalisib
171	Abemaciclib
172	Abemaciclib
173	Abemaciclib
174	Abemaciclib
175	Abemaciclib
176	Palbociclib
177	Ribociclib
178	Abemaciclib
179	Palbociclib
180	Ribociclib
181	Abemaciclib
182	Palbociclib
183	Ribociclib
184	Abemaciclib
185	Palbociclib
186	Ribociclib
187	Abemaciclib
188	Palbociclib
189	Ribociclib
190	Abemaciclib
191	Palbociclib
192	Ribociclib
193	Abemaciclib
194	Palbociclib
195	Ribociclib
196	Abemaciclib
197	Palbociclib
198	Ribociclib
199	Abemaciclib
200	Palbociclib
201	Ribociclib
202	Abemaciclib
203	Ribociclib
204	Abemaciclib
205	Palbociclib
206	Ribociclib
207	Abemaciclib
208	Palbociclib
209	Ribociclib
210	Abemaciclib
211	Palbociclib
212	Ribociclib
213	Abemaciclib
214	Palbociclib
215	Ribociclib
216	Abemaciclib
217	Palbociclib
218	Ribociclib
219	Abemaciclib
220	Palbociclib
221	Ribociclib
222	Abemaciclib
223	Palbociclib
224	Ribociclib
225	Abemaciclib
226	Palbociclib
227	Ribociclib
228	Abemaciclib
229	Palbociclib
230	Ribociclib
231	Abemaciclib
232	Palbociclib
233	Ribociclib
234	Abemaciclib
235	Palbociclib
236	Ribociclib
237	Abemaciclib
238	Palbociclib
239	Ribociclib
240	Abemaciclib
241	Palbociclib
242	Ribociclib
243	Abemaciclib
244	Palbociclib
245	Ribociclib
246	Abemaciclib
247	Palbociclib
248	Ribociclib
249	Abemaciclib
250	Palbociclib
251	Ribociclib
252	Abemaciclib
253	Palbociclib
254	Ribociclib
255	Abemaciclib
256	Palbociclib
257	Ribociclib
258	Abemaciclib
259	Abemaciclib
260	Abemaciclib
261	Abemaciclib
262	Abemaciclib
263	Abemaciclib
264	Abemaciclib
265	Palbociclib
266	Ribociclib
267	Abemaciclib
268	Ribociclib
269	Abemaciclib
270	Ribociclib
271	Abemaciclib
272	Ribociclib
273	Abemaciclib
274	Abemaciclib
275	Abemaciclib
276	Abemaciclib
277	Abemaciclib
278	Abemaciclib
279	Abemaciclib
280	Abemaciclib
281	Abemaciclib
282	Abemaciclib
283	Palbociclib
284	Ribociclib
285	Ribociclib
286	Ribociclib
287	Palbociclib
288	Palbociclib
289	Palbociclib
290	Palbociclib
291	Palbociclib
292	Palbociclib
