sig_id	x	y	DBSCAN-clustering	KMeans-clustering	p-value	Cell	Dose	Perturbation_ID	Time	Perturbation	EHR_Coprescribed_Drugs	EHR_Diagnoses	Phase	MOA	rings	scaffolds	n_rings	n_scaffolds	predicted_MOA	R2_Score	Batch	Scores
CPC019_PC3_24H:BRD-K58479490-001-03-3:10	2.6382401118	-3.7672467443	0	17	0.0	PC3	10.0	BRD-K58479490	24.0	BRD-K58479490	unknown	unknown	unknown	unknown	O1c2ccccc2CCNCCC1	c1ccc(cc1)NCc2ccccc2	2.0	6.0	mTOR inhibitor	0.2257860005	CPC019	-0.0172413793
CPC008_A375_24H:BRD-K24156250-001-06-1:10	6.0455087944	3.0634447813	0	12	0.0	A375	10.0	BRD-K24156250	24.0	BRD-K24156250	unknown	unknown	unknown	unknown	n1cnc2sccc2c1	N1=N[N]C(=N1)Sc2ncnc3sccc32	2.0	3.0	cyclooxygenase inhibitor	0.1467020083	CPC008	-0.0862068966
CPC008_A549_6H:BRD-K76907295-001-03-8:10	5.8173399362	-5.6855794662	1	9	0.0	A549	10.0	BRD-K76907295	6.0	VU-0418947-2	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)-c2ccccc2	3.0	12.0	HDAC inhibitor	0.265093003	CPC008	0.0517241379
CPC016_MCF7_24H:BRD-K63675182-003-14-5:10	0.1800158605	-2.0890420464	0	18	0.0	MCF7	10.0	BRD-K63675182	24.0	triflupromazine	unknown	unknown	Launched	dopamine receptor antagonist	S1c2ccccc2Nc3ccccc13	unknown	1.0	0.0	dopamine receptor antagonist	0.1755972217	CPC016	0.0172413793
CPC006_VCAP_6H:BRD-K71726959-001-06-7:122.55	-3.6986525244	3.9852016987	0	8	0.0	VCAP	122.55	BRD-K71726959	6.0	BRD-K71726959	unknown	unknown	unknown	unknown	c1ccccc1	n1cnc(NCc2ccccc2)c3N=C[N]c13	2.0	1.0	CDK inhibitor	0.2362949352	CPC006	0.0344827586
CPC018_A375_6H:BRD-K91301684-003-03-0:10	-2.4672098547	1.654567379	0	16	0.0077	A375	10.0	BRD-K91301684	6.0	noscapine	unknown	unknown	Launched	bradykinin receptor antagonist, tubulin polymerization inhibitor	O1c2cc3c(cc2OC1)CCNC3	O1c2cc3c(cc2OC1)C(NCC3)C4OCc5ccccc54	2.0	1.0	adrenergic receptor antagonist	-0.0050306637	CPC018	0.0344827586
CPC015_HEPG2_6H:BRD-K92093830-003-05-0:10	-9.0445695397	9.1960760937	2	2	0.0	HEPG2	10.0	BRD-K92093830	6.0	doxorubicin	CYCLOPHOSPHAMIDE	Other specified prophylactic or treatment measure	Launched	topoisomerase inhibitor	O1CCCCC1	O1CCCCC1OC2c3cc4c(cc3CCC2)Cc5ccccc5C4	2.0	1.0	topoisomerase inhibitor	0.8868381621	CPC015	0.0689655172
CPC014_VCAP_6H:BRD-K56064827-001-05-4:10	-3.3704292631	-0.0706393212	0	21	0.0	VCAP	10.0	BRD-K56064827	6.0	EI-273	unknown	unknown	unknown	unknown	c1ccccc1	c1ccc(cc1)-c2ccccc2	1.0	1.0	topoisomerase inhibitor	-0.0617016485	CPC014	0.0
CPC014_HT29_6H:BRD-K56957086-001-02-2:10	-4.1932381258	-9.4860236175	3	13	0.0	HT29	10.0	BRD-K56957086	6.0	dacinostat	unknown	unknown	Phase 1	HDAC inhibitor	c1ccccc1	c1ccc(cc1)CNCCc2c[nH]c3ccccc32	2.0	1.0	HDAC inhibitor	0.1203217912	CPC014	-0.0689655172
DOS007_VCAP_24H:BRD-K88378636:10	7.6348586492	1.7278220566	0	1	0.0	VCAP	10.0	BRD-K88378636	24.0	withaferin-a	unknown	unknown	unknown	unknown	O1CC=CCC1	O1CC=CCC1CC2CCC3C2CCC4C3CC5OC65CC=CCC46	2.0	1.0	NFkB pathway inhibitor	0.0958901832	DOS007	-0.1034482759
CPC020_PC3_6H:BRD-A75144621-001-02-8:10	3.1671642864	6.3811290521	4	4	0.0	PC3	10.0	BRD-A75144621	6.0	digoxin	FUROSEMIDE	Congestive heart failure, unspecified	Launched	ATPase inhibitor	O1CCCCC1	O1CC=C(C1)C2CCC3C2CCC4C5CCCCC5CCC34	2.0	9.0	protein synthesis inhibitor	0.4780992525	CPC020	0.0517241379
