term	id	nGeneIds	pvalue	adjPvalue	oddsRatio	nOverlap	batch	timepoint	cellLine	batch2	perturbation	concentration	direction
REP.A012_HT29_24H_O20_cobimetinib_3.33uM down	4b12d944-b7b1-4607-b776-e9422ed60731	250	7.930934849074795e-45	1.3306562144451936e-38	5.6196434540389975	89	REP.A012	HT29	24H	O20	cobimetinib	3.33uM	down
REP.A013_THP1_24H_J02_KW-2478_3.33uM down	3b779c3e-ba2b-447f-b435-82d19f8dec4c	250	7.472128010243854e-44	4.178924578742397e-38	5.55650139275766	88	REP.A013	THP1	24H	J02	KW-2478	3.33uM	down
ERG005_VCAP_6H_K12_thioridazine_20uM down	6932b995-c596-48dc-a653-fa3b7e88b86c	250	7.472128010243854e-44	4.178924578742397e-38	5.55650139275766	88	ERG005	VCAP	6H	K12	thioridazine	20uM	down
DOS012_VCAP_24H_B07_BRD-K49111930_4uM down	08ec3e21-4910-4445-8a2b-11e9b5a2faea	250	6.256166361222494e-42	2.624156800422727e-36	5.430217270194986	86	DOS012	VCAP	24H	B07	BRD-K49111930	4uM	down
REP.B017_HT29_24H_I07_Ro-4987655_2.22uM down	7037adaf-281e-4136-86d6-95ff5b2fd122	250	5.558728319858105e-41	1.5544103614499212e-35	5.367075208913649	85	REP.B017	HT29	24H	I07	Ro-4987655	2.22uM	down
REP.B006_HT29_24H_G01_CEP-32496_2.22uM down	094cb48f-381f-4aea-8514-97b8ddee4ca9	250	5.558728319858105e-41	1.5544103614499212e-35	5.367075208913649	85	REP.B006	HT29	24H	G01	CEP-32496	2.22uM	down
KMS002_THP1_24H_E03_BRD-K51556300_10uM down	b72c1fa8-d8a7-4ea9-be8e-8f5ded99c5b6	250	4.842604469725916e-40	1.0156182490410614e-34	5.3039331476323115	84	KMS002	THP1	24H	E03	BRD-K51556300	10uM	down
REP.A012_HT29_24H_O21_cobimetinib_1.11uM down	c6830963-674e-4877-acfd-b39ab41b0328	250	4.842604469725916e-40	1.0156182490410614e-34	5.3039331476323115	84	REP.A012	HT29	24H	O21	cobimetinib	1.11uM	down
REP.A006_HT29_24H_G02_CEP-32496_3.33uM down	f93bf37e-b593-4134-8396-66bb6f69000e	250	4.1359639887836234e-39	7.710378955779008e-34	5.240791086350975	83	REP.A006	HT29	24H	G02	CEP-32496	3.33uM	down
REP.A012_HT29_24H_O22_cobimetinib_0.37uM down	efd34fcb-6d92-4681-963a-04a33cb897f3	250	3.462780312637242e-38	5.2817001113130255e-33	5.177649025069638	82	REP.A012	HT29	24H	O22	cobimetinib	0.37uM	down
REP.A011_PC3_24H_N08_PF-04691502_3.33uM down	2db687ba-38f2-45bc-8bc5-c3a9fac1ee4a	250	3.462780312637242e-38	5.2817001113130255e-33	5.177649025069638	82	REP.A011	PC3	24H	N08	PF-04691502	3.33uM	down
REP.B012_HT29_24H_O21_cobimetinib_0.25uM down	9b07225c-ec3b-4da0-b33e-57ff71f121e5	250	2.841699803285324e-37	3.1785454256340885e-32	5.114506963788301	81	REP.B012	HT29	24H	O21	cobimetinib	0.25uM	down
KMS002_THP1_24H_I03_BRD-K49010888_10uM down	f38a4f76-0f1d-4e78-8946-c9eecbbbd12e	250	2.841699803285324e-37	3.1785454256340885e-32	5.114506963788301	81	KMS002	THP1	24H	I03	BRD-K49010888	10uM	down
FIBR027_MCLF130CN_6H_B18_PP-30_4uM down	43dd1633-16ae-4f55-b1e2-f89c17b21b04	250	2.841699803285324e-37	3.1785454256340885e-32	5.114506963788301	81	FIBR027	MCLF130CN	6H	B18	PP-30	4uM	down
DOS012_VCAP_24H_B08_BRD-K39597586_4uM down	9160c211-3dbe-473c-a8cc-ca0fcc5a8146	250	2.841699803285324e-37	3.1785454256340885e-32	5.114506963788301	81	DOS012	VCAP	24H	B08	BRD-K39597586	4uM	down
REP.B006_HT29_24H_N19_GDC-0980_2.22uM down	0bc25567-9685-493f-8592-db15884e0dff	250	2.285543468654394e-36	2.3966851621410536e-31	5.051364902506964	80	REP.B006	HT29	24H	N19	GDC-0980	2.22uM	down
AICHI001_THP1_4H_P14_IPI-145_2.5uM down	28be5877-89e9-4705-b8f2-fb7f4dd93521	250	1.8013995819030803e-35	1.6791095697304988e-30	4.988222841225627	79	AICHI001	THP1	4H	P14	IPI-145	2.5uM	down
REP.A013_A375_24H_N13_MLN-2480_10uM down	ba82161c-6cba-4414-9bdc-ea9b18bcc3a3	250	1.8013995819030803e-35	1.6791095697304988e-30	4.988222841225627	79	REP.A013	A375	24H	N13	MLN-2480	10uM	down
CPC005_PC3_24H_A04_wortmannin_10uM down	8ed96df9-4b05-469f-9aad-a531d08246a3	250	1.3911994685452065e-34	1.2285060128013105e-29	4.92508077994429	78	CPC005	PC3	24H	A04	wortmannin	10uM	down
KMS002_NOMO1_24H_F03_MW-STK33-1C_10uM down	9abcb2af-7588-4af4-830b-3bf984b20b03	250	1.0526286674358579e-33	7.064422565468877e-29	4.861938718662953	77	KMS002	NOMO1	24H	F03	MW-STK33-1C	10uM	down
REP.B005_PC3_24H_E23_deforolimus_0.03uM down	b860447a-74e1-4bdb-a52d-47f844b74faa	250	1.0526286674358579e-33	7.064422565468877e-29	4.861938718662953	77	REP.B005	PC3	24H	E23	deforolimus	0.03uM	down
