gene_name	gene_id	log2FoldChange	pvalue	padj
RP11-12M9.3	ENSG00000237214	3.433926	7.257915e-29	1.109897e-25
RP11-175B9.3	ENSG00000236439	1.715258	8.299246e-24	7.614835e-21
RP11-51O6.1	ENSG00000224631	1.042455	2.961569e-13	5.159503e-11
RPL5P4	ENSG00000229994	2.604898	9.368166e-13	1.416858e-10
RP11-320M16.1	ENSG00000259045	1.555303	1.334202e-11	1.412509e-09
RN7SL1	ENSG00000258486	2.04765	1.618535e-06	3.102492e-05
RN7SL2	ENSG00000265150	1.509862	1.680543e-06	3.190223e-05
RP1-241P17.4	ENSG00000228532	-1.393548	3.126696e-09	1.499398e-07
RPL9P7	ENSG00000238103	-1.009946	1.138368e-09	6.528069e-08
RP4-669L17.10	ENSG00000237094	-1.251902	1.132969e-10	9.50796e-09
SLC26A7	ENSG00000147606	-1.108338	4.454506e-12	5.377839e-10
RP11-464D20.2	ENSG00000239246	-2.251354	1.219525e-14	2.664179e-12
RP3-417G15.1	ENSG00000227008	-2.869849	1.976704e-35	3.886482e-32
